Date,220210.IB,220205.IB
4/25/2022,3.0168,3.0430
4/26/2022,3.0125,3.0520
4/27/2022,3.0250,3.0610
4/28/2022,3.0500,3.0660
4/29/2022,3.0300,3.0644
5/5/2022,3.0300,3.0527
5/6/2022,3.0275,3.0575
5/7/2022,3.0250,3.0540
5/9/2022,3.0250,3.0530
5/10/2022,2.9980,3.0501
5/11/2022,3.0100,3.0625
5/12/2022,2.9925,3.0550
5/13/2022,2.9980,3.0575
5/16/2022,3.0128,3.0701
5/17/2022,3.0018,3.0659
5/18/2022,2.9850,3.0575
5/19/2022,2.9865,3.0650
5/20/2022,2.9950,3.0735
5/23/2022,2.9715,3.0729
5/24/2022,2.9745,3.0600
5/25/2022,2.9500,3.0625
5/26/2022,2.9297,3.0301
5/27/2022,2.9351,3.0491
5/30/2022,2.9575,3.0300
5/31/2022,2.9790,3.0750
6/1/2022,2.9820,3.0701
6/2/2022,2.9904,3.0774
6/6/2022,3.0015,3.0910
6/7/2022,2.9837,3.0925
6/8/2022,2.9900,3.0780
6/9/2022,2.9780,3.0800
6/10/2022,2.9730,3.0674
6/13/2022,2.9824,3.0700
6/14/2022,2.9830,3.0825
6/15/2022,2.9895,3.0890
6/16/2022,2.9818,3.0875
6/17/2022,2.9830,3.0799
6/20/2022,2.9930,3.0891
6/21/2022,2.9906,3.0909
6/22/2022,2.9875,3.0905
6/23/2022,2.9919,3.0875
6/24/2022,3.0037,3.1024
6/27/2022,3.0265,3.1350
6/28/2022,3.0500,3.1470
6/29/2022,3.0515,3.1350
6/30/2022,3.0520,3.1125
7/1/2022,3.0575,3.1224
7/4/2022,3.0775,3.1450
7/5/2022,3.0675,3.1418
7/6/2022,3.0762,3.1275
7/7/2022,3.0860,3.1305
7/8/2022,3.0845,3.1399
7/11/2022,3.0656,3.1175
7/12/2022,3.0575,3.1130
7/13/2022,3.0590,3.1075
7/14/2022,3.0570,3.0900
7/15/2022,3.0534,3.0935
7/18/2022,3.0481,3.0855
7/19/2022,3.0510,3.0870
7/20/2022,3.0325,3.0700
7/21/2022,3.0400,3.0650
7/22/2022,3.0400,3.0850
7/25/2022,3.0375,3.0700
7/26/2022,3.0220,3.0650
7/27/2022,3.0240,3.0625
7/28/2022,3.0200,3.0725
7/29/2022,3.0100,3.0430
8/1/2022,2.9835,3.0250
8/2/2022,2.9870,3.0120
8/3/2022,2.9685,3.0095
8/4/2022,2.9710,3.0058
8/5/2022,2.9900,3.0205
8/8/2022,2.9878,3.0253
8/9/2022,2.9861,3.0200
8/10/2022,2.9825,3.0100
8/11/2022,2.9755,3.0110
8/12/2022,2.9740,3.0150
8/15/2022,2.9015,2.9460
8/16/2022,2.8825,2.9690
8/17/2022,2.8725,2.9200
8/18/2022,2.8592,2.9030
8/19/2022,2.8700,2.9050
8/22/2022,2.8690,2.9130
8/23/2022,2.8735,2.9180
8/24/2022,2.8774,2.9204
8/25/2022,2.9025,2.9255
8/26/2022,2.9065,2.9525
8/29/2022,2.8775,2.9325
8/30/2022,2.8785,2.9245
8/31/2022,2.8825,2.9225
9/1/2022,2.8600,2.9050
9/2/2022,2.8650,2.9025
9/5/2022,2.8510,2.9000
9/6/2022,2.8450,2.8875
9/7/2022,2.8475,2.8840
9/8/2022,2.8482,2.8888
9/9/2022,2.8625,2.8912
9/13/2022,2.8620,2.9130
9/14/2022,2.8735,2.9095
9/15/2022,2.8655,2.9100
9/16/2022,2.8760,2.9375
9/19/2022,2.8773,2.9275
9/20/2022,2.8815,2.9200
9/21/2022,2.8850,2.9000
9/22/2022,2.8750,2.9050
9/23/2022,2.8900,2.9210
9/26/2022,2.9250,2.9550
9/27/2022,2.9310,2.9700
9/28/2022,2.9600,3.0075
9/29/2022,2.9710,3.0200
9/30/2022,3.0025,3.0460
10/8/2022,3.0400,3.0350
10/10/2022,2.9805,2.9930
10/11/2022,2.9675,2.9870
10/12/2022,2.9800,2.9842
10/13/2022,2.9490,2.9669
10/14/2022,2.9425,2.9560
10/17/2022,2.9245,2.9300
10/18/2022,2.9175,2.9317
10/19/2022,2.9125,2.9250
10/20/2022,2.9250,2.9410
10/21/2022,2.9335,2.9370
10/24/2022,2.9150,2.9350
10/25/2022,2.9160,2.9400
10/26/2022,2.9225,2.9280
10/27/2022,2.9065,2.9175
10/28/2022,2.9025,2.9075
10/31/2022,2.8850,2.8950
11/1/2022,2.8925,2.9030
11/2/2022,2.9125,2.9175
11/3/2022,2.9075,2.9190
11/4/2022,2.9350,2.9450
11/7/2022,2.9350,2.9305
11/8/2022,2.9425,2.9520
11/9/2022,2.9300,2.9425
11/10/2022,2.9450,2.9460
11/11/2022,2.9900,2.9600
11/14/2022,3.0705,3.0705
11/15/2022,3.0800,3.0768
11/16/2022,3.0750,3.0750
11/17/2022,3.0863,3.0875
11/18/2022,3.0625,3.0500
11/21/2022,3.0350,3.0300
11/22/2022,3.0360,3.0400
11/23/2022,2.9600,2.9600
11/24/2022,2.9865,2.9791
11/25/2022,2.9910,3.0300
11/28/2022,3.0636,3.0275
11/29/2022,3.1075,3.0970
11/30/2022,3.0925,3.1000
12/1/2022,3.0946,3.1125
12/2/2022,3.0650,3.0700
